index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
22181,Physiotherapy rehabilitation for osteoporotic vertebral fracture-a randomised controlled trial and economic evaluation (PROVE trial),"The trial compared three physiotherapy approaches: manual or exercise therapy compared with a single session of physiotherapy education (SSPT) for people with osteoporotic vertebral fracture(s). At 1 year, there were no statistically significant differences between the groups meaning there is inadequate evidence to support manual or exercise therapy. INTRODUCTION: To evaluate the clinical and cost-effectiveness of different physiotherapy approaches for people with osteoporotic vertebral fracture(s) (OVF). METHODS: >Prospective, multicentre, adaptive, three-arm randomised controlled trial. Six hundred fifteen adults with back pain, osteoporosis, and at least 1 OVF participated. INTERVENTIONS: 7 individual physiotherapy sessions over 12 weeks focused on either manual therapy or home exercise compared with a single session of physiotherapy education (SSPT). The co-primary outcomes were quality of life and back muscle endurance measured by the QUALEFFO-41 and timed loaded standing (TLS) test at 12 months. RESULTS: At 12 months, there were no statistically significant differences between groups. Mean QUALEFFO-41: - 1.3 (exercise), - 0.15 (manual), and - 1.2 (SSPT), a mean difference of - 0.2 (95% CI, - 3.2 to 1.6) for exercise and 1.3 (95% CI, - 1.8 to 2.9) for manual therapy. Mean TLS: 9.8 s (exercise), 13.6 s (manual), and 4.2 s (SSPT), a mean increase of 5.8 s (95% CI, - 4.8 to 20.5) for exercise and 9.7 s (95% CI, 0.1 to 24.9) for manual therapy. Exercise provided more quality-adjusted life years than SSPT but was more expensive. At 4 months, significant changes above SSPT occurred in endurance and balance in manual therapy, and in endurance for those </= 70 years, in balance, mobility, and walking in exercise. CONCLUSIONS: Adherence was problematic. Benefits at 4 months did not persist and at 12 months, we found no significant differences between treatments. There is inadequate evidence a short physiotherapy intervention of either manual therapy or home exercise provides long-term benefits, but arguably short-term benefits are valuable. TRIAL REGISTRATION: ISRCTN 49117867.",2019-01-31367,31720722,Osteoporos Int,K L Barker,2019,/,,No,31720722,"K L Barker; Naomi R M Schwartz; Susan Hutfless; Lisa J Herrinton; Laura B Amsden; Helene B Fevrier; Matthew Giefer; Dale Lee; David L Suskind; Joseph A C Delaney; Amanda I Phipps; Physiotherapy rehabilitation for osteoporotic vertebral fracture-a randomised controlled trial and economic evaluation (PROVE trial), Osteoporos Int, 2019 Dec 14; ():0937-941X",QALY,United Kingdom,Not Stated,Medical Procedure,excercise therapy vs. Single session of physiotherapy,At least one osteoporotic vertebral fracture; back pain,97 Years,42 Years,"Female, Male",Full,1 Year,Not Stated,Not Stated,100525,United Kingdom,2015,167781.43
22182,Physiotherapy rehabilitation for osteoporotic vertebral fracture-a randomised controlled trial and economic evaluation (PROVE trial),"The trial compared three physiotherapy approaches: manual or exercise therapy compared with a single session of physiotherapy education (SSPT) for people with osteoporotic vertebral fracture(s). At 1 year, there were no statistically significant differences between the groups meaning there is inadequate evidence to support manual or exercise therapy. INTRODUCTION: To evaluate the clinical and cost-effectiveness of different physiotherapy approaches for people with osteoporotic vertebral fracture(s) (OVF). METHODS: >Prospective, multicentre, adaptive, three-arm randomised controlled trial. Six hundred fifteen adults with back pain, osteoporosis, and at least 1 OVF participated. INTERVENTIONS: 7 individual physiotherapy sessions over 12 weeks focused on either manual therapy or home exercise compared with a single session of physiotherapy education (SSPT). The co-primary outcomes were quality of life and back muscle endurance measured by the QUALEFFO-41 and timed loaded standing (TLS) test at 12 months. RESULTS: At 12 months, there were no statistically significant differences between groups. Mean QUALEFFO-41: - 1.3 (exercise), - 0.15 (manual), and - 1.2 (SSPT), a mean difference of - 0.2 (95% CI, - 3.2 to 1.6) for exercise and 1.3 (95% CI, - 1.8 to 2.9) for manual therapy. Mean TLS: 9.8 s (exercise), 13.6 s (manual), and 4.2 s (SSPT), a mean increase of 5.8 s (95% CI, - 4.8 to 20.5) for exercise and 9.7 s (95% CI, 0.1 to 24.9) for manual therapy. Exercise provided more quality-adjusted life years than SSPT but was more expensive. At 4 months, significant changes above SSPT occurred in endurance and balance in manual therapy, and in endurance for those </= 70 years, in balance, mobility, and walking in exercise. CONCLUSIONS: Adherence was problematic. Benefits at 4 months did not persist and at 12 months, we found no significant differences between treatments. There is inadequate evidence a short physiotherapy intervention of either manual therapy or home exercise provides long-term benefits, but arguably short-term benefits are valuable. TRIAL REGISTRATION: ISRCTN 49117867.",2019-01-31367,31720722,Osteoporos Int,K L Barker,2019,/,,No,31720722,"K L Barker; Naomi R M Schwartz; Susan Hutfless; Lisa J Herrinton; Laura B Amsden; Helene B Fevrier; Matthew Giefer; Dale Lee; David L Suskind; Joseph A C Delaney; Amanda I Phipps; Physiotherapy rehabilitation for osteoporotic vertebral fracture-a randomised controlled trial and economic evaluation (PROVE trial), Osteoporos Int, 2019 Dec 14; ():0937-941X",QALY,United Kingdom,Not Stated,Medical Procedure,manual therapy vs. Single session of physiotherapy,At least one osteoporotic vertebral fracture; back pain,97 Years,42 Years,"Female, Male",Full,1 Year,Not Stated,Not Stated,-17428.57,United Kingdom,2015,-29089.19
22183,The economic research of arsenic trioxide for the treatment of newly diagnosed acute promyelocytic leukemia in China,"BACKGROUND: The objective of this study was to conduct the first systematic evaluation of the long-term economic impact of arsenic trioxide (ATO) plus all-trans retinoic acid (ATRA) for the treatment of patients with newly diagnosed acute promyelocytic leukemia (APL) from the perspective of the Chinese health care system. METHODS: On the basis of clinical data from a randomized phase 3 trial, a time-dependent Markov model with 4 health states (complete remission, relapse or treatment failure, post-treatment failure, and death) was used to evaluate the incremental costs per quality-adjusted life-year (QALY) gained from the ATO plus ATRA regimen compared with the ATRA plus chemotherapy (CT) regimen over a 30-year period. All costs were adjusted to 2018 levels based on the Chinese Consumer Price Index. Both costs and health outcomes were discounted by 3% annually. One-way sensitivity analysis and probability sensitivity analysis were performed. RESULTS: Compared with the ATRA plus CT strategy, the ATO plus ATRA strategy was associated with 1.38 additional QALYs gained and $392.05 (estimated in 2018 US dollars) in incremental costs per patient over 30 years. Consequently, the incremental cost-effectiveness ratio was $284.02 per QALY gained, which was far below the Chinese willingness-to-pay threshold of $29,306 per QALY gained. Sensitivity analyses demonstrated the robustness of these results. CONCLUSIONS: From the perspective of the Chinese health care system, the ATO plus ATRA strategy is cost-effective for patients with newly diagnosed APL compared with the ATRA plus CT strategy. Therefore, the authors strongly suggest that China''s health authorities choose the former strategy for these patients, whether for the elderly or for young people.",2019-01-31380,31714584,Cancer,Xichuang Chen,2019,/,,No,31714584,"Xichuang Chen; Charlotte Bradbury; Kate Fletcher; Yongzhong Sun; Carl Heneghan; Chris Gardiner; Andrea Roalfe; Pollyanna Hardy; Debbie McCahon; Gail Heritage; Helen Shackleford; Fd Richard Hobbs; David Fitzmaurice; The economic research of arsenic trioxide for the treatment of newly diagnosed acute promyelocytic leukemia in China, Cancer, 2019 Jun 24; ():0008-543X",QALY,China,Not Stated,Pharmaceutical,arsenic trioxide + all-trans retinoic acid vs. Standard/Usual Care- All-trans retinoic acid plus anthracycline-based chemotherapy,"Newly diagnosed, low-risk to intermediate-risk APL",Not Stated,19 Years,"Female, Male",Full,30 Years,3.00,3.00,284.02,United States,2018,292.73
22184,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,69 Years,65 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,364277,United Kingdom,2017,495790.1
22185,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with the general practitioner,69 Years,65 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,364277,United Kingdom,2017,495790.1
22186,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,74 Years,70 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,186160,United Kingdom,2017,253368.41
22187,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,74 Years,70 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,172076,United Kingdom,2017,234199.74
22188,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,89 Years,75 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,-15686.46,United Kingdom,2017,-21349.66
22189,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,89 Years,75 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,-57060.42,United Kingdom,2017,-77660.65
22190,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,89 Years,65 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,36396,United Kingdom,2017,49535.87
22191,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,89 Years,65 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,1906,United Kingdom,2017,2594.11
22192,A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups,"BACKGROUND: fall-risk assessment with fall-prevention intervention referral for at-risk groups to avoid falls could be cost-effective from a care-payer perspective. AIMS: to model the cost-effectiveness of a fall-risk assessment (QTUG compared to TUG) with referral to one of four fall-prevention interventions (Otago, FaME, Tai Chi, home safety assessment and modification) compared to no care pathway, when the decision to screen is based on older age in a primary care setting for community-dwelling people. METHODS: a cohort-based, decision analytic Markov model was stratified by five age groupings (65-70, 70-75, 65-89, 70-89 and 75-89) to estimate cost per quality-adjusted life years (QALYs). Costs included fall-risk assessment, fall-prevention intervention and downstream resource use (e.g. inpatient and care home admission). Uncertainty was explored using univariate, bivariate and probabilistic sensitivity analyses. RESULTS: screening with QTUG dominates (>QALYs; <costs) screening with TUG irrespective of subsequent fall-prevention intervention. The QTUG-based care pathways relative to no care pathway have a high probability of cost-effectiveness in those aged 75-89 (>85%), relative to those aged 70-74 (~10 < 30%) or 65-69 (<10%). In the older age group, only a 10% referral uptake is required for the QTUG with FaME or Otago modelled care pathways to remain cost-effective. CONCLUSION: the highest probability of cost-effectiveness observed was a care pathway incorporating QTUG with FaME in those aged 75-89. Although the model does not fully represent current NICE Falls guidance, decision makers should still give careful consideration to implementing the aforementioned care pathway due to the modelled high probability of cost-effectiveness.",2019-01-31391,31711110,Age Ageing,Matthew Franklin,2019,49 / 1,57-66,No,31711110,"Matthew Franklin; Meghan E Muse; Zhigang Li; Emily R Baker; Kathryn L Cottingham; Susan A Korrick; Margaret R Karagas; Diane Gilbert-Diamond; A modelling-based economic evaluation of primary-care-based fall-risk screening followed by fall-prevention intervention: a cohort-based Markov model stratified by older age groups, Age Ageing, 2019 Dec 1; 49(1):0002-0729; 57-66",QALY,United Kingdom,Not Stated,"Care Delivery, Screening",quantitative timed up and go device + otago home-based exercise vs. None,Registered with general practitioner practice,89 Years,70 Years,"Female, Male",Full,2 Years,Not Stated,Not Stated,7176,United Kingdom,2017,9766.72
