index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
26984,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Myanmar,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,1422,United States,2007,1774.99
26985,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Nepal,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,454,United States,2007,566.7
26986,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Niger,Not Stated,Legislation / Regulation,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12) vs. None",Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,10.37,United States,2007,12.94
26987,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Nigeria,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,50,United States,2007,62.41
26988,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Pakistan,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,52,United States,2007,64.91
26989,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Peru,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,616,United States,2007,768.91
26990,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Philippines,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,985,United States,2007,1229.51
26991,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Rwanda,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,980,United States,2007,1223.27
26992,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Sierra Leone,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,225,United States,2007,280.85
26993,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Somalia,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,933,United States,2007,1164.6
26994,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Sudan,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,613,United States,2007,765.17
26995,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,South Sudan,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,227,United States,2007,283.35
26996,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries","Food fortification is a promising strategy for combating micronutrient deficiencies, which plague one-third of the world's population. Which foods to fortify, with which micronutrients, and in which countries remain essential questions that to date have not been addressed at the global level.To provide a tool for international agencies to identify and organize the next phase of the unfinished global fortification agenda by prioritizing roughly 250 potential interventions in 48 priority countries. By explicitly defining the structure and operations of the fortification interventions in a detailed and transparent manner, and incorporating a substantial amount of country-specific data, the study also provides a potentially useful starting point for policy discussions in each of the 48 countries, which--it is hoped--will help to catalyze the development of public-private partnerships and accelerate the introduction of fortification and reduction of micronutrient deficiencies.Forty-eight high-priority countries were identified, and the feasibility of fortifying vegetable oil and sugar with vitamin A and fortifying wheat flour and maize flour with two alternative multiple micronutrient formulations was assessed. One hundred twenty-two country-, food-, and fortification formulation-specific interventions were assessed to be feasible, and the costs of each intervention were estimated. Assuming a 30% reduction in the micronutrient deficiencies of the persons consuming the food, the number of disability-adjusted life years (DALYs) saved by each of the programs was estimated.The cost per DALY saved was calculated for each of the 122 interventions, and the interventions were rank-ordered by cost-effectiveness. It is estimated that the 60 most cost-effective interventions would carry a 10-year price tag of US$1 billion and have costs per DALY saved ranging from US$1 to US$134. The single ""best bet"" intervention--i.e., the most cost-effective intervention--in each of the 48 countries was identified.This study provides a detailed, transparent, evidence-based approach to defining and estimating the costs and cost-effectiveness of the unfinished global fortification agenda in the 48 priority countries. Other considerations in designing a strategic approach to the unfinished global fortification agenda are also discussed.",2009-99-13584,20496620,Food Nutr Bull,John L Fiedler,2009,30 / 4,283-316,No,20496620,"John L Fiedler; Barbara Macdonald; A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries, Food Nutr Bull, ; 30(4):0379-5721; 283-316",DALY,Uganda,Not Stated,Legislation / Regulation,Sugar fortification (consists of vitamin A) vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,56,United States,2007,69.9
